fullVisitorId,transactions,total_visitor_transactions,visitId,visitNumber,hitNumber,pagePath
0006911334202687206,,1,1500268117,1,1,/home
0006911334202687206,,1,1500268117,1,2,/home
0006911334202687206,,1,1500268117,1,3,/home
0006911334202687206,,1,1500268117,1,4,/google+redesign/apparel/mens+outerwear/android+mens+zip+hoodie.axd
0006911334202687206,,1,1500268117,1,5,/google+redesign/apparel/women+s+google+yoga+jacket.axd
0006911334202687206,1,1,1500442011,2,1,/home
0006911334202687206,1,1,1500442011,2,2,/home
0006911334202687206,1,1,1500442011,2,3,/asearch.html
0006911334202687206,1,1,1500442011,2,4,/asearch.html/quickview
0006911334202687206,1,1,1500442011,2,7,/basket.html
0006911334202687206,1,1,1500442011,2,8,/home
0006911334202687206,1,1,1500442011,2,9,/home
0006911334202687206,1,1,1500442011,2,10,/google+redesign/office/notebooks++journals
0006911334202687206,1,1,1500442011,2,11,/google+redesign/office/notebooks++journals/quickview
0006911334202687206,1,1,1500442011,2,14,/basket.html
0006911334202687206,1,1,1500442011,2,15,/signin.html
0006911334202687206,1,1,1500442011,2,16,/yourinfo.html
0006911334202687206,1,1,1500442011,2,17,/home
0006911334202687206,1,1,1500442011,2,18,/home
0006911334202687206,1,1,1500442011,2,19,/home
0006911334202687206,1,1,1500442011,2,20,/payment.html
0006911334202687206,1,1,1500442011,2,21,/revieworder.html
0006911334202687206,1,1,1500442011,2,22,/ordercompleted.html
0006911334202687206,1,1,1500442011,2,23,/ordercompleted.html
0006911334202687206,,1,1500919342,3,1,/home
0006911334202687206,,1,1500919342,3,2,/home
0010295111715775250,,1,1501029862,2,1,/home
0010295111715775250,,1,1501029862,2,2,/google+redesign/bags/water+bottles+and+tumblers
0010295111715775250,,1,1501029862,2,4,/google+redesign/bags/water+bottles+and+tumblers/quickview
0010295111715775250,,1,1501029862,2,6,/google+redesign/drinkware/bottles/wide+mouth+sport+bottle.axd
0010295111715775250,,1,1501029862,2,8,/basket.html
0010295111715775250,,1,1501029862,2,9,/google+redesign/apparel/headgear
0010295111715775250,,1,1501029862,2,10,/home
0010295111715775250,1,1,1501549997,3,1,/home
0010295111715775250,1,1,1501549997,3,2,/google+redesign/drinkware/mugs+and+cups
